Mod:Item:MetaData, Localized Name
minecraft:gray_shulker_box, Boîte de Shulker grise
minecraft:silver_shulker_box, Boîte de Shulker gris clair
minecraft:cyan_shulker_box, Boîte de Shulker cyan
minecraft:purple_shulker_box, Boîte de Shulker violette
minecraft:blue_shulker_box, Boîte de Shulker bleue
minecraft:brown_shulker_box, Boîte de Shulker marron
minecraft:green_shulker_box, Boîte de Shulker verte
minecraft:red_shulker_box, Boîte de Shulker rouge
minecraft:black_shulker_box, Boîte de Shulker noire
minecraft:white_glazed_terracotta, Terre cuite émaillée blanche
minecraft:orange_glazed_terracotta, Terre cuite émaillée orange
minecraft:magenta_glazed_terracotta, Terre cuite émaillée magenta
minecraft:light_blue_glazed_terracotta, Terre cuite émaillée bleu clair
minecraft:yellow_glazed_terracotta, Terre cuite émaillée jaune
minecraft:lime_glazed_terracotta, Terre cuite émaillée vert clair
minecraft:pink_glazed_terracotta, Terre cuite émaillée rose
minecraft:gray_glazed_terracotta, Terre cuite émaillée grise
minecraft:silver_glazed_terracotta, Terre cuite émaillée gris clair
minecraft:cyan_glazed_terracotta, Terre cuite émaillée cyan
minecraft:purple_glazed_terracotta, Terre cuite émaillée violette
minecraft:blue_glazed_terracotta, Terre cuite émaillée bleue
minecraft:brown_glazed_terracotta, Terre cuite émaillée marron
minecraft:green_glazed_terracotta, Terre cuite émaillée verte
minecraft:red_glazed_terracotta, Terre cuite émaillée rouge
minecraft:black_glazed_terracotta, Terre cuite émaillée noire
minecraft:concrete:0, Béton blanc
minecraft:concrete:1, Béton orange
minecraft:concrete:2, Béton magenta
minecraft:concrete:3, Béton bleu clair
minecraft:concrete:4, Béton jaune
minecraft:concrete:5, Béton vert clair
minecraft:concrete:6, Béton rose
minecraft:concrete:7, Béton gris
minecraft:concrete:8, Béton gris clair
minecraft:concrete:9, Béton cyan
minecraft:concrete:10, Béton violet
minecraft:concrete:11, Béton bleu
minecraft:concrete:12, Béton marron
minecraft:concrete:13, Béton vert
minecraft:concrete:14, Béton rouge
minecraft:concrete:15, Béton noir
minecraft:concrete_powder:0, Béton blanc en poudre
minecraft:concrete_powder:1, Béton orange en poudre
minecraft:concrete_powder:2, Béton magenta en poudre
minecraft:concrete_powder:3, Béton bleu clair en poudre
minecraft:concrete_powder:4, Béton jaune en poudre
minecraft:concrete_powder:5, Béton vert clair en poudre
minecraft:concrete_powder:6, Béton rose en poudre
minecraft:concrete_powder:7, Béton gris en poudre
minecraft:concrete_powder:8, Béton gris clair en poudre
minecraft:concrete_powder:9, Béton cyan en poudre
minecraft:concrete_powder:10, Béton violet en poudre
minecraft:concrete_powder:11, Béton bleu en poudre
minecraft:concrete_powder:12, Béton marron en poudre
minecraft:concrete_powder:13, Béton vert en poudre
minecraft:concrete_powder:14, Béton rouge en poudre
minecraft:concrete_powder:15, Béton noir en poudre
minecraft:structure_block, Bloc de structure
minecraft:iron_shovel, Pelle en fer
minecraft:iron_pickaxe, Pioche en fer
minecraft:iron_axe, Hache en fer
minecraft:flint_and_steel, Briquet
minecraft:apple, Pomme
minecraft:bow, Arc
minecraft:arrow, Flèche
minecraft:coal:0, Charbon
minecraft:coal:1, Charbon de bois
minecraft:diamond, Diamant
minecraft:iron_ingot, Lingot de fer
minecraft:gold_ingot, Lingot d'or
minecraft:iron_sword, Épée en fer
minecraft:wooden_sword, Épée en bois
minecraft:wooden_shovel, Pelle en bois
minecraft:wooden_pickaxe, Pioche en bois
minecraft:wooden_axe, Hache en bois
minecraft:stone_sword, Épée en pierre
minecraft:stone_shovel, Pelle en pierre
minecraft:stone_pickaxe, Pioche en pierre
minecraft:stone_axe, Hache en pierre
minecraft:diamond_sword, Épée en diamant
minecraft:diamond_shovel, Pelle en diamant
minecraft:diamond_pickaxe, Pioche en diamant
minecraft:diamond_axe, Hache en diamant
minecraft:stick, Bâton
minecraft:bowl, Bol
minecraft:mushroom_stew, Soupe de champignons
minecraft:golden_sword, Épée en or
minecraft:golden_shovel, Pelle en or
minecraft:golden_pickaxe, Pioche en or
minecraft:golden_axe, Hache en or
minecraft:string, Ficelle
minecraft:feather, Plume
minecraft:gunpowder, Poudre à canon
minecraft:wooden_hoe, Houe en bois
minecraft:stone_hoe, Houe en pierre
minecraft:iron_hoe, Houe en fer
minecraft:diamond_hoe, Houe en diamant
minecraft:golden_hoe, Houe en or
minecraft:wheat_seeds, Graines de blé
minecraft:wheat, Blé
minecraft:bread, Pain
minecraft:leather_helmet, Chapeau en cuir
minecraft:leather_chestplate, Tunique en cuir
minecraft:leather_leggings, Pantalon en cuir
minecraft:leather_boots, Bottes en cuir
minecraft:chainmail_helmet, Casque de mailles
minecraft:chainmail_chestplate, Cotte de mailles
minecraft:chainmail_leggings, Jambières de mailles
minecraft:chainmail_boots, Bottes de mailles
minecraft:iron_helmet, Casque en fer
minecraft:iron_chestplate, Plastron en fer
minecraft:iron_leggings, Jambières en fer
minecraft:iron_boots, Bottes en fer
minecraft:diamond_helmet, Casque en diamant
minecraft:diamond_chestplate, Plastron en diamant
minecraft:diamond_leggings, Jambières en diamant
minecraft:diamond_boots, Bottes en diamant
minecraft:golden_helmet, Casque en or
minecraft:golden_chestplate, Plastron en or
minecraft:golden_leggings, Jambières en or
minecraft:golden_boots, Bottes en or
minecraft:flint, Silex
minecraft:porkchop, Côtelette de porc crue
minecraft:cooked_porkchop, Côtelette de porc cuite
minecraft:painting, Tableau
minecraft:golden_apple:0, Pomme dorée
minecraft:golden_apple:1, Pomme dorée
minecraft:sign, Pancarte
minecraft:wooden_door, Porte en bois de chêne
minecraft:bucket, Seau
minecraft:water_bucket, Seau d'eau
minecraft:lava_bucket, Seau de lave
minecraft:minecart, Wagonnet
minecraft:saddle, Selle
minecraft:iron_door, Porte en fer
minecraft:redstone, Redstone
minecraft:snowball, Boule de neige
minecraft:boat, Bateau en bois de chêne
minecraft:leather, Cuir
minecraft:milk_bucket, Seau de lait
minecraft:brick, Brique
minecraft:clay_ball, Argile
minecraft:reeds, Canne à sucre
minecraft:paper, Papier
minecraft:book, Livre
minecraft:slime_ball, Boule de Slime
minecraft:chest_minecart, Wagonnet de stockage
minecraft:furnace_minecart, Wagonnet motorisé
minecraft:egg, Oeuf
minecraft:compass, Boussole
minecraft:fishing_rod, Canne à pêche
minecraft:clock, Montre
minecraft:glowstone_dust, Poudre lumineuse
minecraft:fish:0, Morue crue
minecraft:fish:1, Saumon cru
minecraft:fish:2, Poisson-clown
minecraft:fish:3, Poisson-globe
minecraft:cooked_fish:0, Morue cuite
minecraft:cooked_fish:1, Saumon cuit
minecraft:dye:0, Poche d'encre
minecraft:dye:1, Rouge de rose
minecraft:dye:2, Vert de cactus
minecraft:dye:3, Fèves de cacao
minecraft:dye:4, Lapis-lazuli
minecraft:dye:5, Teinture violette
minecraft:dye:6, Teinture cyan
minecraft:dye:7, Teinture gris clair
minecraft:dye:8, Teinture grise
minecraft:dye:9, Teinture rose
minecraft:dye:10, Teinture vert clair
minecraft:dye:11, Jaune pissenlit
minecraft:dye:12, Teinture bleu clair
minecraft:dye:13, Teinture magenta
minecraft:dye:14, Teinture orange
minecraft:dye:15, Poudre d'os
minecraft:bone, Os
minecraft:sugar, Sucre
minecraft:cake, Gâteau
minecraft:bed:0, Lit blanc
minecraft:bed:1, Lit orange
minecraft:bed:2, Lit magenta
minecraft:bed:3, Lit bleu clair
minecraft:bed:4, Lit jaune
minecraft:bed:5, Lit vert clair
minecraft:bed:6, Lit rose
minecraft:bed:7, Lit gris
minecraft:bed:8, Lit gris clair
minecraft:bed:9, Lit cyan
minecraft:bed:10, Lit violet
minecraft:bed:11, Lit bleu
minecraft:bed:12, Lit marron
minecraft:bed:13, Lit vert
minecraft:bed:14, Lit rouge
minecraft:bed:15, Lit noir
minecraft:repeater, Répéteur de redstone
minecraft:cookie, Cookie
minecraft:filled_map:0, Carte
minecraft:shears, Cisailles
minecraft:melon, Pastèque
minecraft:pumpkin_seeds, Graines de citrouille
minecraft:melon_seeds, Graines de pastèque
minecraft:beef, Boeuf cru
minecraft:cooked_beef, Steak
minecraft:chicken, Poulet cru
minecraft:cooked_chicken, Poulet rôti
minecraft:rotten_flesh, Chair putréfiée
minecraft:ender_pearl, Perle de l'Ender
minecraft:blaze_rod, Bâton de Blaze
minecraft:ghast_tear, Larme de Ghast
minecraft:gold_nugget, Pépite d'or
minecraft:nether_wart, Verrues du Nether
minecraft:potion, Potion
minecraft:glass_bottle, Fiole
minecraft:spider_eye, Oeil d'araignée
minecraft:fermented_spider_eye, Oeil d'araignée fermenté
minecraft:blaze_powder, Poudre de Blaze
minecraft:magma_cream, Crème de magma
minecraft:brewing_stand, Alambic
minecraft:cauldron, Chaudron
minecraft:ender_eye, Oeil de l'Ender
minecraft:speckled_melon, Pastèque scintillante
minecraft:spawn_egg, Oeuf de
minecraft:experience_bottle, Fiole d'expérience
minecraft:fire_charge, Boule de feu
minecraft:writable_book, Livre et plume
minecraft:written_book, Livre écrit
minecraft:emerald, Émeraude
minecraft:item_frame, Cadre
minecraft:flower_pot, Pot de fleurs
minecraft:carrot, Carotte
minecraft:potato, Pomme de terre
minecraft:baked_potato, Pomme de terre cuite
minecraft:poisonous_potato, Pomme de terre empoisonnée
minecraft:map, Carte vierge
minecraft:golden_carrot, Carotte dorée
minecraft:skull:0, Crâne de squelette
minecraft:skull:1, Crâne de Wither squelette
minecraft:skull:2, Tête de zombie
minecraft:skull:3, Tête
minecraft:skull:4, Tête de Creeper
minecraft:skull:5, Tête de dragon
minecraft:carrot_on_a_stick, Carotte sur un bâton
minecraft:nether_star, Étoile du Nether
minecraft:pumpkin_pie, Tarte à la citrouille
minecraft:fireworks, Fusée de feu d'artifice
minecraft:firework_charge, Étoile de feu d'artifice
minecraft:enchanted_book, Livre enchanté
minecraft:comparator, Comparateur de redstone
minecraft:netherbrick, Brique du Nether
minecraft:quartz, Quartz du Nether
minecraft:tnt_minecart, Wagonnet à TNT
minecraft:hopper_minecart, Wagonnet à entonnoir
minecraft:prismarine_shard, Éclat de prismarine
minecraft:prismarine_crystals, Cristaux de prismarine
minecraft:rabbit, Lapin cru
minecraft:cooked_rabbit, Lapin cuit
minecraft:rabbit_stew, Ragoût de lapin
minecraft:rabbit_foot, Patte de lapin
minecraft:rabbit_hide, Peau de lapin
minecraft:armor_stand, Porte-armure
minecraft:iron_horse_armor, Armure en fer pour cheval
minecraft:golden_horse_armor, Armure en or pour cheval
minecraft:diamond_horse_armor, Armure en diamant pour cheval
minecraft:lead, Laisse
minecraft:name_tag, Étiquette
minecraft:command_block_minecart, Wagonnet avec bloc de commande
minecraft:mutton, Mouton cru
minecraft:cooked_mutton, Mouton cuit
minecraft:banner:15, Bannière blanche
minecraft:banner:14, Bannière orange
minecraft:banner:13, Bannière magenta
minecraft:banner:12, Bannière bleu clair
minecraft:banner:11, Bannière jaune
minecraft:banner:10, Bannière vert clair
minecraft:banner:9, Bannière rose
minecraft:banner:8, Bannière grise
minecraft:banner:7, Bannière gris clair
minecraft:banner:6, Bannière cyan
minecraft:banner:5, Bannière violette
minecraft:banner:4, Bannière bleue
minecraft:banner:3, Bannière marron
minecraft:banner:2, Bannière verte
minecraft:banner:1, Bannière rouge
minecraft:banner:0, Bannière noire
minecraft:end_crystal, Cristal de l'End
minecraft:spruce_door, Porte en bois de sapin
minecraft:birch_door, Porte en bois de bouleau
minecraft:jungle_door, Porte en bois d'acajou
minecraft:acacia_door, Porte en bois d'acacia
minecraft:dark_oak_door, Porte en bois de chêne noir
minecraft:chorus_fruit, Chorus
minecraft:chorus_fruit_popped, Chorus éclaté
minecraft:beetroot, Betterave
minecraft:beetroot_seeds, Graines de betterave
minecraft:beetroot_soup, Soupe de betteraves
minecraft:dragon_breath, Souffle de dragon
minecraft:splash_potion, Potion jetable
minecraft:spectral_arrow, Flèche spectrale
minecraft:tipped_arrow, Flèche à effet
minecraft:lingering_potion, Potion persistante
minecraft:shield, Bouclier
minecraft:elytra, Élytres
minecraft:spruce_boat, Bateau en bois de sapin
minecraft:birch_boat, Bateau en bois de bouleau
minecraft:jungle_boat, Bateau en bois d'acajou
minecraft:acacia_boat, Bateau en bois d'acacia
minecraft:dark_oak_boat, Bateau en bois de chêne noir
minecraft:totem_of_undying, Totem d'immortalité
minecraft:shulker_shell, Carapace de Shulker
minecraft:iron_nugget, Pépite de fer
minecraft:knowledge_book, Livre des connaissances
minecraft:record_13, Disque
minecraft:record_cat, Disque
minecraft:record_blocks, Disque
minecraft:record_chirp, Disque
minecraft:record_far, Disque
minecraft:record_mall, Disque
minecraft:record_mellohi, Disque
minecraft:record_stal, Disque
minecraft:record_strad, Disque
minecraft:record_ward, Disque
minecraft:record_11, Disque
minecraft:record_wait, Disque
ic2:te:1, TNT industrielle
ic2:te:2, Bombe atomique
ic2:te:3, Générateur
ic2:te:4, Générateur géothermique
ic2:te:5, Générateur cinétique
ic2:te:6, Générateur thermoélectrique à radioisotope
ic2:te:7, Générateur semi-liquide
ic2:te:8, Panneau solaire
ic2:te:9, Générateur Stirling
ic2:te:10, Moulin à eau
ic2:te:11, Moulin à vent
ic2:te:12, Chauffage électrique
ic2:te:13, Liquid Fuel Firebox
ic2:te:14, Générateur thermique à radioisotope
ic2:te:15, Solid Fuel Firebox
ic2:te:16, Moteur électrique
ic2:te:17, Générateur cinétique manuel
ic2:te:18, Turbine à vapeur
ic2:te:19, Générateur cinétique Stirling
ic2:te:20, Turbine hydraulique
ic2:te:21, Éolienne
ic2:te:22, Réacteur nucléaire
ic2:te:23, Trappe d'accès au réacteur
ic2:te:24, Chambre de réacteur
ic2:te:25, Port d'entrée/sortie de fluide de réacteur
ic2:te:26, Port redstone de réacteur
ic2:te:27, Condenseur
ic2:te:28, Usine d'embouteillage
ic2:te:29, Distributeur de fluide
ic2:te:30, Régulateur de fluide
ic2:te:31, Echangeur de liquide thermique
ic2:te:32, Pompe
ic2:te:33, Distillateur solaire
ic2:te:34, Chaudière à vapeur
ic2:te:35, Objet tampon
ic2:te:36, Luminateur
ic2:te:37, Magnétiseur
ic2:te:38, Machine de tri électrique
ic2:te:39, Téléporteur
ic2:te:40, Terraformeur
ic2:te:41, Bobine Tesla
ic2:te:42, Machine de remplissage liquide/solide
ic2:te:43, Compresseur
ic2:te:44, Four électrique
ic2:te:45, Extracteur
ic2:te:46, Four en fer
ic2:te:47, Broyeur
ic2:te:48, Recycleur
ic2:te:49, Machine de remplissage de solide
ic2:te:50, Haut fourneau
ic2:te:51, Machine à découper
ic2:te:52, Centrifugeuse thermique
